NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Study Type,Study Documents
NCT07483450,"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Ocrelizumab in Participants With Relapsing Multiple Sclerosis and Primary Progressive Multiple Sclerosis",https://clinicaltrials.gov/study/NCT07483450,RECRUITING,The main purpose of this study is to evaluate the efficacy of ocrelizumab in participants with relapsing multiple sclerosis (RMS) and to characterize the ocrelizumab pharmacodynamic (PD) profile in Chinese participants with primary progressive multiple sclerosis (PPMS).,NO,Relapsing Multiple Sclerosis|Primary Progressive Multiple Sclerosis,DRUG: Ocrelizumab,"RMS Cohort: Annualized Protocol-defined Relapse Rate, Up to approximately 1.6 years|PPMS Cohort: B-cell Levels in Blood, Up to Week 48|PPMS Cohort: Percentage of Participants Achieving Cluster of Differentiation 19 (CD19+) B-cell Levels of <10 Cells/Microliter (μL) at Week 48, At Week 48",Hoffmann-La Roche,,INTERVENTIONAL,
NCT01191996,Safety Study of an Immunomodulating Microparticle to Treat Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01191996,COMPLETED,"The purpose of the study is to determine the safety and tolerability, dose-limiting toxicities, maximum tolerated dose, and recommended therapeutic dose of intravenously administered MIS416 weekly in patients with chronic progressive multiple sclerosis.",NO,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis,BIOLOGICAL: MIS416,"Safety profile, including maximum tolerated dose, Dose-limiting toxicities, adverse events, safety MRI assessments, 1 month in DE phase, 3 months in DC phase",Innate Immunotherapeutics,Primorus Clinical Trials|National Multiple Sclerosis Society,INTERVENTIONAL,
NCT03455582,Cognition Evolution and MRI Markers in PPMS Patients on 2 Years,https://clinicaltrials.gov/study/NCT03455582,ACTIVE_NOT_RECRUITING,"Cognitive impairment is nowadays more and more recognized as an important feature of the multiple sclerosis (MS) disease. Cognitive disorders frequency in MS is estimated between 40 and 60%. Cognitive impairment affects quality of life and vocational status in MS patients.

Until recently, little information was available on the cognitive dysfunction and their evolution that occur in primary progressive multiple sclerosis (PPMS) as compared with relapsing-remitting MS (RRMS). In PPMS pathological studies have shown the importance of cortical demyelination and meningeal inflammation suggesting that the GM alteration could play a major role in the cognitive impairment in this phenotype. The cognitive evolution and the brain tissue alteration at the origin of these difficulties remain poorly understood in PPMS. The use of new techniques for morphological and functional MRI can study the contribution of diffuse White Matter (WM) alteration (probably through disconnexion of relevant network) and diffuse Grey matter (GM) alterations in the cerebral cortex and other structures (the hippocampi, the cerebellum, and the thalami) in cognitive impairment in PPMS patients and on their evolution.",NO,"Multiple Sclerosis, Primary Progressive",OTHER: Clinical assessment|OTHER: Ecological evaluation|OTHER: Neuropsychological evaluation|OTHER: Psychological evaluation|DEVICE: MRI Evaluation,"Change of composite z cognitive score based on individual neuropsychological scores, The composite z cognitive score is the average of z individual cognitive scores. The score from each cognitive test is transformed into z-scores. Z-scores will be calculated for each cognitive score with the following formula: (patient's score - mean value of HC group matched for age, sex, and education level)/standard deviation of the matched HC for each evaluation time (baseline and 2 years).

Individual neuropsychological scores included in composite z cognitive score : the Alertness subtest, the divided attention subtest and the visual-scanning subtest from the TAP, The Symbol-digit-modalities-test, the Paced-Auditory-Serial-Addition-Test 3s, reversed span, the Stroop test, the Verbal fluency, Trail Making test, the California Verbal memory learning test and the Brief visual memory test -revised, At baseline (day 0) and at 24 months from baseline","University Hospital, Bordeaux",Roche Pharma AG,INTERVENTIONAL,
NCT05122559,Neuroprotection With N-acetyl Cysteine for Patients With Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT05122559,ACTIVE_NOT_RECRUITING,"This study evaluates the effectiveness of N-acetyl cysteine (NAC) in the treatment of progressive multiple sclerosis. Half of the patients will receive NAC, while the other half will receive a placebo.",NO,"Multiple Sclerosis|Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive",DRUG: N-acetyl cysteine|DRUG: Placebo,"Safety and tolerability, Number of adverse events recorded by system, severity, and by relationship to treatment arm., 15 months|Effect of NAC on on progression of brain, thalamic and cervical cord atrophy, The primary endpoint is brain, thalamic and cord atrophy measured by brain and cervical spine MRI at month 3 and month 15., 15 months","Emmanuelle Waubant, MD PhD",United States Department of Defense,INTERVENTIONAL,
NCT02273635,"Efficacy, Safety and Tolerability of Andrographolides Versus Placebo in Patients With Progressive Forms of MS",https://clinicaltrials.gov/study/NCT02273635,UNKNOWN,"The purpose of this study is to compare the efficacy and safety of andrographolide 140 mg administered twice a day orally versus a placebo as a modifying treatment of the disease in patients with the progressive forms of Multiple Sclerosis (MS).

The principal outcome is to determine the efficacy, of andrographolide in retarding the progression of brain atrophy in patients with progressive forms of MS.",NO,"Primary Progressive Multiple Sclerosis|Multiple Sclerosis, Secondary Progressive",DRUG: Andrographolides|DRUG: placebo,"Brain atrophy in patients with progressive forms of MS, Retarding the progression of brain atrophy as measured by MR quantified by the percentage of change in volume size utilizing SIENA., 24 months",Innobioscience SpA,Pontificia Universidad Catolica de Chile|University of Chile|Universidad Austral de Chile,INTERVENTIONAL,
NCT02208050,A Study of the Effectiveness of Fampridine in Improving Upper Limb Function in MS,https://clinicaltrials.gov/study/NCT02208050,COMPLETED,"The purpose of this study is to examine the effect of treatment with fampridine in patients with secondary progressive MS (SPMS) or primary progressive MS (PPMS) with upper limb dysfunction (as defined by a 9-HPT time of between 15-90 seconds) and Kurtzke EDSS scores in the range 4.0-7.0 on upper limb function assessed by the nine-hole peg test (9-HPT) and the Jebson Taylor Hand Function Test (JTT).

Fampridine has been shown to be effective in improving motor function, specifically walking ability in prior studies in this patient population and is currently licensed for this use in Europe and the United States. Upper limb dysfunction is common in SPMS and PPMS and often underestimated. Fampridine effects action potential conduction in demyelinated nerve fibres and we would hypothesise that the improvement previously reported in walking ability would be similar to that on upper limb dysfunction. Our study aims to address this question using both independent and patient reported outcomes in the context of a randomised placebo controlled crossover trial.",YES,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis,DRUG: Fampridine|DRUG: Placebo,"Number of Participants Classified as Upper Limb Responders on the 9 Hole Peg Test (9HPT), 9 Hole Peg Test is a test of upper limb function. Participants place 9 pegs on pegboard and remove pegs - this is timed for each hand. Time recorded in seconds. Longer time indicates poorer upper limb function. 20% improvement is defined as 20% shorter time in seconds. An upper limb responder is defined as a patient with both of the two ""on treatment"" 9 Hole Peg Test (9-HPT) assessments measured in seconds (assessments 4 \& 5 or 7 \& 8) improving 20% from the average of the baseline assessments (1, 2 \& 3). Washout assessment not included in the analysis., 20 weeks. Baseline assessments 1,2,3: weeks 0-2. Assessment 4 - midway through first treatment period; assessment 5: end of first treatment period. Assessment 7: midway through second treatment period, assessment 8: end of second treatment period.",University College Dublin,,INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/50/NCT02208050/Prot_SAP_000.pdf"
NCT04545372,Aerobic Exercises for Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04545372,COMPLETED,Multiple sclerosis (MS) is a chronic inflammatory demyelinating disease of the central nervous system (CNS) .It is the most common neurological disorders affecting young adults.Multiple sclerosis is an autoimmune disease that results in progressive neural degeneration. Cytokines play an important role in the pathogenesis and treatment of MS.,NO,"Multiple Sclerosis, Primary Progressive",OTHER: aerobic exercise,"blood analysis, serum anti inflammatory cytokine IL-10,, serum anti inflammatory cytokine IL-10, will be assessed at 0 day|blood analysis, serum anti inflammatory cytokine IL-10,, serum anti inflammatory cytokine IL-10, wil lbe assessed at 90 day|blood analysis, pro inflammatory cytokine IL-17, pro inflammatory cytokine IL-17 will be assessed at 0 day|blood analysis, pro inflammatory cytokine IL-17, pro inflammatory cytokine IL-17 will be assessed at 90 day",South Valley University,,INTERVENTIONAL,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/72/NCT04545372/Prot_000.pdf"
NCT06138132,A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell ( CAR-T) Therapy in Subjects With Non-relapsing and Progressive Forms of Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06138132,RECRUITING,A Study of Anti-CD19 Chimeric Antigen Receptor T Cell Therapy in Subjects with Non-relapsing and Progressive Forms of Multiple Sclerosis,NO,"Multiple Sclerosis|Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive",BIOLOGICAL: KYV-101 anti-CD19 CAR-T cell therapy|DRUG: Standard lymphodepletion regimen,"Frequency of dose limiting toxicities at each dose level, Up to 12 months",Stanford University,Kyverna Therapeutics,INTERVENTIONAL,
NCT01950234,ACTH in Progressive Forms of MS,https://clinicaltrials.gov/study/NCT01950234,TERMINATED,"This is a phase II, randomized, double-blind, placebo-controlled, multi-center study to evaluate the safety, tolerability, and efficacy of adrenocorticotropic hormone (ACTH, Acthar gel) administered as a pulsed regimen consisting of injections on three consecutive days per month in patients with progressive forms of Multiple Sclerosis (MS). Patients will be randomly assigned to either an ACTH arm or a placebo arm. The main hypotheses are that 1) pulsed ACTH will be safe and well-tolerated, and 2) pulsed ACTH will slow progression of clinical and paraclinical measures of MS progression compared to placebo.",YES,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis|Progressive Relapsing Multiple Sclerosis,DRUG: ACTH|DRUG: Placebo,"Proportion of Patients Exhibiting a 20% Worsening in T25FW at 36 Months, Month 36",University of Minnesota,Mallinckrodt,INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/34/NCT01950234/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/34/NCT01950234/ICF_001.pdf"
NCT07222956,A Study of Remibrutinib Using MR Imaging in Relapsing or Progressive MS,https://clinicaltrials.gov/study/NCT07222956,NOT_YET_RECRUITING,"The study is an investigator-run, study following participants for 2 years with twice-daily remibrutinib. MRI is the main endpoint. Safety, tolerability, and efficacy are secondary endpoints. Approximately 20 participants with relapsing or progressive forms of MS will be recruited.",NO,Multiple Sclerosis (MS) - Relapsing-remitting|Multiple Sclerosis (MS) Secondary Progressive|Multiple Sclerosis (MS) Primary Progressive,DRUG: Remibrutinib (Open Label),"Quantitative MRI volumetric measurements, Rate of change in regional brain volumes using 7T MRI over 24 months, Baseline to Month 24|Slowly expanding lesions (SELs), Prevalence of SELs identified using 7T MRI over 24 months, Baseline to Month 24|Paramagnetic rim lesions (PRLs) -- count, Change in count of PRLs identified using 7T MRI over 24 months, Baseline to Month 24|Paramagnetic rim lesions (PRLs) -- size, Change in size of PRLs identified using 7T MRI over 24 months, Baseline to Month 24|Paramagnetic rim lesions (PRLs) -- quantitative susceptibility measures, Change in quantitative susceptibility measures of PRLs identified using 7T MRI over 24 months, Baseline to Month 24|Myelin Water Fraction, Rate of change in myelin water fraction assessed using 7T MRI over 24 months, Baseline to Month 24|Functional MRI (Default mode network), Functional MRI changes (default mode network) assessed using 7T MRI over 24 months, Baseline to Month 24|Microstructural tissue integrity, Rate of change in microstructural tissue integrity assessed using 7T MRI over 24 months, Baseline to Month 24|Leptomeningeal enhancement, Prevalence of leptomeningeal enhancement identified using 7T MRI over 24 months, Baseline to Month 24|Neuromelanin, Prevalence of regional neuromelanin changes identified using 7T MRI over 24 months, Baseline to Month 24",Moein Amin,Novartis Pharmaceuticals,INTERVENTIONAL,
NCT05441488,Masitinib in the Treatment of Patients With Primary Progressive or Non-active Secondary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT05441488,ACTIVE_NOT_RECRUITING,To evaluate the efficacy and safety of oral masitinib versus placebo in the treatment of patients with primary progressive or secondary progressive multiple sclerosis without relapse.,NO,Progressive Multiple Sclerosis,DRUG: Placebo|DRUG: Masitinib (4.5),"Time to confirmed progression, Time to disability progression, confirmed by two consecutive visits, wherein progression of disability is measured by the Expanded Disability Status Scale (EDSS) with progression defined as a 1-point worsening for baseline EDSS score ≤5.5, or 0.5-point worsening for baseline EDSS score \>5.5.

The Expanded Disability Status Scale (EDSS) is a method of quantifying disability in multiple sclerosis and monitoring changes in the level of disability over time. The EDSS provides a total score on a scale that ranges from 0 to 10, in 0.5-point increments, with higher scores indicating greater disability. The first levels 1.0 to 4.5 refer to people with a high degree of ambulatory ability and the subsequent levels 5.0 to 9.5 refer to the loss of ambulatory ability., 96 weeks",AB Science,,INTERVENTIONAL,
NCT01982942,"Safety, Tolerability and Activity Study of Ibudilast in Subjects With Progressive Multiple Sclerosis",https://clinicaltrials.gov/study/NCT01982942,COMPLETED,"This is a multicenter, randomized, double-blind, placebo-controlled, parallel-group study designed to evaluate the safety, tolerability and activity of ibudilast administered twice daily over a 96 week period in subjects with primary or secondary progressive multiple sclerosis who are currently untreated with long-term MS disease modifying therapy (DMT) or who are receiving either glatiramer acetate (GA) or interferon beta-1, any formulation (IFNβ-1A \[Avonex, Rebif\] or IFNβ-1B \[Betaseron, Extavia\]). Study drug or placebo will be administered to a total of 250 male and female subjects from 21 to 65 years old, inclusive, in two treatment groups. Randomization of subjects will be stratified by disease status (primary progressive multiple sclerosis or secondary progressive multiple sclerosis) and immunomodulating therapy status: current use of immunomodulating therapy or no current use of immunomodulating therapy.

The study will consist of a screening phase (up to 30 days) followed by a treatment phase (96 weeks) and a follow-up visit (1 month post Week 96 visit). Following the screening phase, subjects who continue to meet entry criteria will be randomly assigned to 1 of 2 treatment groups: doses up to ibudilast 100 mg/day or matching-placebo in a 1:1 ratio. Study drug will be administered twice daily (BID), e.g., ibudilast 50 mg or placebo taken in the morning and evening).",YES,"Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive",DRUG: ibudilast|DRUG: Placebo oral capsule,"Covariate-adjusted Mean Rate of Change in Brain Atrophy Over 96 Weeks as Measured by Brain Parenchymal Fraction (BPF)., To evaluate the activity of ibudilast (100 mg/day) versus placebo at 96 weeks as measured by quantitative magnetic resonance imaging (MRI) analysis for whole brain atrophy using brain parenchymal fraction (BPF), calculated as the ratio of brain parenchymal tissue volume to the total volume contained within the brain surface contour., 96 weeks|Percentage of Participants With Adverse Events., Safety Measures: percentage of participants who experienced treatment-emergent adverse events, clinically significant abnormal laboratory and electrocardiogram results., 96 weeks",MediciNova,National Institutes of Health (NIH)|National Institute of Neurological Disorders and Stroke (NINDS)|National Multiple Sclerosis Society,INTERVENTIONAL,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/42/NCT01982942/Prot_SAP_ICF_000.pdf"
NCT06841068,Intrathecal Amniotic Fluid Stem Cells for Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06841068,WITHDRAWN,"In this clinical trial, researchers are exploring a novel approach to delivering therapy directly into the spinal fluid, which surrounds and nourishes the brain and spinal cord. The study focuses on patients with progressive multiple sclerosis (MS), a form of the disease that leads to worsening disability without the typical relapses seen in other MS subtypes.

This investigational therapy involves the use of stem cells derived from amniotic fluid-the protective liquid surrounding a developing baby in the womb. To the best of the researchers' knowledge, these specific stem cells have never been tested in MS patients before. Amniotic fluid is ethically sourced from routine medical procedures during pregnancy, and similar stem cells can also be obtained from placentas that are typically discarded after childbirth.

Participants in the trial will receive multiple injections of these stem cells into their spinal fluid over the course of a year. Researchers will closely monitor for the safety of this therapy, as well as monitor the participants' walking ability and other neurological functions to assess potential improvements.",NO,"Multiple Sclerosis, Progressive",BIOLOGICAL: Amniotic fluid or placental CD117 stem cells,"Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability), The primary safety outcome will be the incidence of adverse events (AEs) and serious adverse events (SAEs) related to the treatment, including their severity and duration. Adverse events will be classified according to the NIH Common Terminology Criteria for Adverse Events (CTCAE) version 5.0., From enrollment to the end of treatment at 12 months",Wake Forest University Health Sciences,,INTERVENTIONAL,
NCT03424538,"The Effect of Neurorehabilitation Therapy on Postural Control, Mobility and Quality of Life in Multiple Sclerosis Patients",https://clinicaltrials.gov/study/NCT03424538,COMPLETED,"Abstract Introduction: Postural control disorders are the most common motor disorder associated with multiple sclerosis.

Objective: The aim of this study is to demonstrate the potential for improvement of postural control, motion performance and quality of life in patients with multiple sclerosis who are performing a special neurorevolutionary balancing program.

Intervention: The treated group (n = 15) performed five times a week for the treatment we defined. (60 minutes per day). The experimental group performed movements using the Xbox 360 and Kinect consoles. The study team participated in 25 sessions, five times a week. The duration of treatment was 5 weeks.The MStp group (n=14) participated in a 5-week physiotherapy course. The general treatment consisted of strengthening, stretching and walking correction. During the 5-week period, 25 patients attended training. One treatment takes 60 minutes. Sensory Organisation Test / Body Sway at the end of the baseline and treatment protocol is used to evaluate each patient. The quality of life mapping was measured by subjective tests (EQ-5D-5L, ADL). To assess the depressive state, a Beck depression questionnaire was used. Balance and motion performance were used by the Berg Balance Test and 6Minutes Walk Test. The results were compared with the control group results (n = 14) and showed improvement in overall balance and motion performance.",NO,"Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis, Primary Progressive",OTHER: Neurorehabilitation|OTHER: Physiotherapy,"Postural instability, Body sway (mm) (Posturography test), 5 weeks|quality of life, EQ-5D (EQ-5D was first introduced in 1990 by the EuroQol Group, The EQ-5D questionnaire is made up for two components; health state description and evaluation), 5 weeks|balance test, Berg Balance test (The Berg Balance Scale (BBS) was developed to measure balance among older people with impairment in balance function by assessing the performance of functional tasks, 41-56 = low fall risk, 21-40 = medium fall risk, 0 -20 = high fall risk ), 5 weeks|mobility test, Six minutes walk test (6MWT) (m) (The six-minute walk test (6MWT) measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface. The goal is for the individual to walk as far as possible in six minutes. The individual is allowed to self-pace and rest as needed as they traverse back and forth along a marked walkway), 5 weeks",Somogy Megyei Kaposi Mór Teaching Hospital,University Medical Center Groningen,INTERVENTIONAL,
NCT05385731,MUSCLE - Nordic Walking in MUltiple SCLErosis,https://clinicaltrials.gov/study/NCT05385731,UNKNOWN,"The aim of the study is to analyze the effects of Nordic Walking and free walking in the clinical-functional, postural balance, motor control, muscular echographic quality, and gait analysis (pendulum gait mechanism), in people with Multiple Sclerosis.",NO,"Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis|Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive",OTHER: Nordic Walking (NWG)|OTHER: Free Walking (FWG)|OTHER: Health Education (HEG),"Test Timed Up and Go, Test Timed Up and Go: This test evaluates the mobility functional in three meters of self-selected speed (TUGSS) or at forced speed (TUGFS) \[Time Frame: Change from baseline at 12 weeks\], Change from baseline at 12 weeks|Locomotor Rehabilitation Index, The Locomotor Rehabilitation Index is a method of determining how close is the SSW compared to the Optimum Speed (Vopt)., Change from baseline at 12 weeks|Self-selected walking speed, SSWS This outcome will be measure in test of treadmill walking, Change from baseline at 12 weeks",Leonardo A. Peyré-Tartaruga,Aline Nogueira Haas|Flávia Gomes Martinez,INTERVENTIONAL,
NCT06384976,"KYSA-7: A Study of Anti-CD19 CAR T-Cell Therapy, in Subjects With Refractory Primary and Secondary Progressive Multiple Sclerosis",https://clinicaltrials.gov/study/NCT06384976,ACTIVE_NOT_RECRUITING,"A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects with Refractory Primary and Secondary Progressive Multiple Sclerosis",NO,"Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive|Multiple Sclerosis|MS",BIOLOGICAL: KYV-101|DRUG: Standard lymphodepletion regimen|DRUG: Anti-CD20 mAB,"To evaluate efficacy of KYV-101, Confirmed disability Progression on the EDSS scale. The EDSS scale ranges from 0 to 10 in 0.5- unit increments that represent higher levels of disability. Scoring is based on an examination by a neurologist., at least 12 weeks",Kyverna Therapeutics,,INTERVENTIONAL,
NCT04550650,Follow-up Study of the Effectiveness of Virtual Reality Therapy in MS Patients,https://clinicaltrials.gov/study/NCT04550650,COMPLETED,"Different therapies can improve clinical and motor symptoms of multiple sclerosis (MS) similarly, but studies comparing the effects of different exercise therapies on clinical and motor outcomes are scant. We compared the effects of exergaming (EXE), balance (BAL), cycling (CYC), proprioceptive neuromuscular facilitation (PNF), and a standard care wait-listed control group (CON) on clinical and motor symptoms and quality of life (QoL) in people with MS (PwMS).

Methods: PwMS (n = 68, 90% female; age, 47.0 yr; Expanded Disability Status Scale score 5-6) were randomized into five groups. Before and after the interventions (five times a week for 5 wk), PwMS were tested for MS-related clinical and motor symptoms (Multiple Sclerosis Impact Scale-29 (MSIS-29), primary outcome), QoL (EuroQol Five Dimensions Questionnaire), symptoms of depression, gait and balance ability (Tinetti Assessment Tool), static and dynamic balance and fall risk (Berg Balance Scale), walking capacity (6-min walk test), and standing posturography on a force platform.

Patients were followed up for 2 years after 5 weeks of intensive care. Tests are performed every six months.",NO,"Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis, Primary Progressive",OTHER: Training groupe|OTHER: PNF|OTHER: Spinning grp|OTHER: Balance,"Postural instability, Body sway (mm) (Posturography test), 2 years|EQ-5D quality of life, EQ-5D (EQ-5D was first introduced in 1990 by the EuroQol Group, The EQ-5D questionnaire is made up for two components; health state description and evaluation), 2 years|balance test, Berg Balance test (The Berg Balance Scale (BBS) was developed to measure balance among older people with impairment in balance function by assessing the performance of functional tasks, 41-56 = low fall risk, 21-40 = medium fall risk, 0 -20 = high fall risk ), 2 years|mobility test, Six minutes walk test (6MWT) (m) (The six-minute walk test (6MWT) measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface. The goal is for the individual to walk as far as possible in six minutes. The individual is allowed to self-pace and rest as needed as they traverse back and forth along a marked walkway), 2 years|depression scale, Beck Depression scale (The Beck Depression Inventory (BDI) is a 21-item, self-report rating inventory that measures characteristic attitudes and symptoms of depression, 0-13: minimal depression, 14-19: mild depression, 20-28: moderate depression, 29-63: severe depression), 2 years|MSIS-29, Multiple Sclerosis Questionnaire, 2 years",Somogy Megyei Kaposi Mór Teaching Hospital,,INTERVENTIONAL,
NCT04120675,Efficacy of Early Harvest Olive Oil in Cognition of Primary (PPMS) or Secondary (SPMS) Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04120675,COMPLETED,"To date, no drug therapy has been approved for primary (PPMS) \& secondary (SPMS) progressive multiple sclerosis. The urgent need to find new therapies - if possible with minimal side effects - led us to the search for the potential therapeutic effects of early harvest olive oil. The positive effect of phenol-rich, flavonoid and lignin-based olive oil on the modification of intestinal microbe populations and their by-products of metabolism is well known, such as the extent of gut-associated lymphoid tissue immune-stimulation due to antioxidants, anti-inflammatory and immunoregulatory properties. The aim of this Greek, Randomized Clinical Trial, is to evaluate the effect of Early Harvest Extra Virgin Olive Oil on cognition and mental health of patients diagnosed with PPMS or SPMS. The patients will be evaluated once at the beginning of treatment, after 6 months of treatment and after twelve months of treatment, in order to specify the eficacy of extra virgin olive oil in holistic treatments for SPMS and PPMS",NO,Progressive Multiple Sclerosis,DIETARY_SUPPLEMENT: Early Harvest Extra Virgin Olive Oil,"Greek Verbal Learning Test (GVLT)- Assessment of auditory and verbal memory, Changes in Greek Verbal Learning Test (GVLT) score. Score range:0-80. Higher score indicates better outcome, baseline, 6 and 12 months|Brief Visuospatial Memory Test (BVMT)- Assessment of visual and spatial memory, Changes in Brief Visuospatial Memory Test (BVMT) score. Score range:0-36. Higher score indicates better outcome, baseline, 6 and 12 months|Symbol Digit Modalities Test (SDMT)- Assessment of processing speed and working memory, Changes in Symbol Digit Modalities Test (SDMT) score. Score range:1-110. Higher score indicates better outcome, baseline, 6 and 12 months|Perceived Deficits Questionnaire (PDQ)- Measurement of subjective cognitive deficits, Changes in Perceived Deficits Questionnaire (PDQ) score. Score range:0-80. Lower score indicates better outcome, baseline, 12 and 24 months|Frontal Assessment Battery (FAB)- Assessment of frontal deficits, Changes in Frontal Assessment Battery (FAB) score. Score Range:0-18. Higher score indictaes better outcome, baseline, 6 and 12 months|Beck Depression Scale (BDI)- Measurement of depressive symptoms, Changes in Beck Depression Scale (BDI) score. Score range:0-63. Lower scores indicate better outcomes., baseline, 6 and 12 months|Mental Health Inventory (MHI)- Measurement of emotional condition and mental health problems, Changes in Mental Health Inventory (MHI) score. Score range:0-100. Higher score indicates better outcome, baseline, 6 and 12 months",Aristotle University Of Thessaloniki,"Greek Alzheimer's Association and Related Disorders|Ellis-Farm, Eliama Daily Value Gold (ellis-farm.com)",INTERVENTIONAL,
NCT05232825,"A Phase III, Non-Inferiority, Randomized, Open-Label, Parallel Group, Multicenter Study To Investigate The Pharmacokinetics, Pharmacodynamics, Safety And Radiological And Clinical Effects Of Subcutaneous Ocrelizumab Versus Intravenous Ocrelizumab In Patients With Multiple Sclerosis",https://clinicaltrials.gov/study/NCT05232825,COMPLETED,"This study will evaluate the pharmacokinetics, pharmacodynamics, safety, immunogenicity, and radiological and clinical effects of subcutaneous (SC) administration of ocrelizumab compared with the intravenous (IV) infusion of ocrelizumab in patients with either relapsing multiple sclerosis (RMS) or primary progressive multiple sclerosis (PPMS).",NO,Relapsing Multiple Sclerosis|Primary Progressive Multiple Sclerosis,DRUG: Ocrelizumab IV|DRUG: Ocrelizumab SC|DRUG: Methylprednisolone IV|DRUG: Diphenhydramine IV|DRUG: Dexamethasone given orally|DRUG: Desloratadine given orally,"Serum ocrelizumab area under the concentration-time curve (AUCW1-12), Day 1 to Week 12",Hoffmann-La Roche,,INTERVENTIONAL,
NCT03094364,Video Game-based Therapy for Arm Weakness In Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03094364,COMPLETED,Participants will receive intensive therapy through a video game in their own homes for 1 month. The game is operated by movements of the body (no controller needed) and acts like a virtual therapist. Participants will agree to play the game for 30 hours. They will also receive 4 home visits from a therapist designed to increase use of their arm for daily activities that are important to them. Participants will also receive a smart watch that will measure use of their weaker arm and alert them when their arm is not participating in activities. Arm strength and function will be measured before and after the therapy program.,NO,Primary Progressive Multiple Sclerosis|Hemiparesis,BEHAVIORAL: Gaming CI Therapy,"Bilateral Activity Monitors (Accelerometers), Devices to monitor upper extremity movement throughout treatment, 0 to 1 Months|Wolf Motor Function Test, Assessment to evaluate motor function, 0 to 1 Months","University of Massachusetts, Lowell",Ohio State University,INTERVENTIONAL,
NCT01466114,Estriol Treatment in Multiple Sclerosis (MS): Effect on Cognition,https://clinicaltrials.gov/study/NCT01466114,UNKNOWN,"Approximately 50% of people diagnosed with Multiple Sclerosis (MS) will develop problems with cognition. Currently, there are no FDA-approved treatments targeting cognitive function in Multiple Sclerosis. This trial will ascertain whether treatment with an estrogen pill, used in combination with standard MS anti-inflammatory drugs, can improve cognitive testing as compared to treatment with a placebo pill in combination with standard anti-inflammatory drugs in women with MS.",NO,Relapsing-remitting Multiple Sclerosis|Secondary-progressive Multiple Sclerosis|Primary-progressive Multiple Sclerosis,DRUG: estriol|OTHER: Placebo|DRUG: Norethindrone|OTHER: Progestin Placebo,"Change from baseline in cognitive function assessed by Paced Serial Addition Test (PASAT)., Processing speed will be assessed by PASAT. Numerical test scores (ranging from 0-60) will be acquired, then percent change for each subject at trial conclusion as compared to baseline will be determined. Whether greater improvement as expressed as percent change occurs in the estriol group as compared to the placebo group will be determined., 1 year","University of California, Los Angeles",,INTERVENTIONAL,
